name,code,region,month,industrial,total,recidencial
Alaró,7001,07001 Alaró,2024-08-01,214.6,864.8,650.2
Alaró,7001,07001 Alaró,2024-07-01,59.4,1291.2,1231.8
Alaró,7001,07001 Alaró,2024-06-01,3287.8,3672.4,384.6
Alaró,7001,07001 Alaró,2024-05-01,0,1619.4,1619.4
Alaró,7001,07001 Alaró,2024-04-01,0,509.9,509.9
Alaró,7001,07001 Alaró,2024-03-01,0,159.1,159.1
Alaró,7001,07001 Alaró,2024-02-01,434.5,685.2,250.7
Alaró,7001,07001 Alaró,2024-01-01,0,27.5,27.5
Alaró,7001,07001 Alaró,2023-12-01,0,718.8,718.8
Alaró,7001,07001 Alaró,2023-11-01,143.2,2311.2,2168
Alaró,7001,07001 Alaró,2023-10-01,0,495.9,495.9
Alaró,7001,07001 Alaró,2023-09-01,221.6,1410.9,1189.3
Alaró,7001,07001 Alaró,2023-08-01,0,1363.7,1363.7
Alaró,7001,07001 Alaró,2023-07-01,0,450.6,450.6
Alaró,7001,07001 Alaró,2023-06-01,0,402,402
Alaró,7001,07001 Alaró,2023-05-01,266.9,585.7,318.8
Alaró,7001,07001 Alaró,2023-04-01,0,947.1,947.1
Alaró,7001,07001 Alaró,2023-03-01,0,421.7,421.7
Alaró,7001,07001 Alaró,2023-02-01,5,1174.8,1169.8
Alaró,7001,07001 Alaró,2023-01-01,735,791,56
Alaró,7001,07001 Alaró,2022-12-01,0,457.7,457.7
Alaró,7001,07001 Alaró,2022-11-01,0,707.2,707.2
Alaró,7001,07001 Alaró,2022-10-01,0,879.5,879.5
Alaró,7001,07001 Alaró,2022-09-01,0,1019.5,1019.5
Alaró,7001,07001 Alaró,2022-08-01,0,687.1,687.1
Alaró,7001,07001 Alaró,2022-07-01,1529.5,2020.8,491.3
Alaró,7001,07001 Alaró,2022-06-01,22,165.7,143.7
Alaró,7001,07001 Alaró,2022-05-01,0,1904.3,1904.3
Alaró,7001,07001 Alaró,2022-04-01,0,1268.9,1268.9
Alaró,7001,07001 Alaró,2022-03-01,198.8,1285.2,1086.5
