place,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1991,1981,1970,1960,1950,1940,1930,1920,1910,1900,1897,1887,1877,1860,1857,1842
"07 Balears, Illes",1197261,1176659,1173008,1171543,1149460,1128908,1115999,1107220,1104479,1103442,1111674,1119439,1113114,1106049,1095426,1072844,1030650,1001062,983131,955045,947361,916968,878627,845630,821820,796483,,760379,745944,685088,558287,443327,422089,407497,365512,338894,326023,311649,309807,313480,291934,269818,262893,228590
07002 Alaior,9748,9606,9477,9467,9065,9012,9097,8959,8997,9162,9769,9610,9600,9399,9257,9133,8972,8933,8671,8308,8197,7982,7684,7390,7229,7046,,6705,6406,5706,5328,5016,5130,4788,4968,5111,5005,4933,,,,,,
07001 Alaró,5909,5811,5741,5617,5572,5494,5389,5282,5275,5227,5217,5508,5438,5401,5327,5178,5018,4869,4707,4607,4540,4320,4121,4032,3834,3834,,3840,3601,3250,3656,3710,3801,3895,4238,5925,6033,5976,5823,5876,5325,4879,4588,4112
07003 Alcúdia,21322,20717,20651,20819,20241,19793,19395,19296,19763,19768,20163,19586,19243,19112,19071,18327,17435,16176,15897,15057,14690,13824,12942,12152,11435,10581,,10284,8004,5439,4039,3442,3556,4172,3500,3305,2998,2703,2718,2652,2316,1500,1563,1120
07004 Algaida,6170,6075,5963,5793,5642,5529,5430,5394,5410,5354,5382,5367,5273,5116,5050,4827,4527,4339,4258,4149,3997,3902,3868,3753,3661,3542,,3461,3157,2794,3224,3666,3892,3854,4096,3918,4092,4084,3980,4182,3959,3675,3666,2806
07005 Andratx,11833,11735,11571,11433,11271,11004,10930,10873,11093,10806,10748,12149,11919,11682,11685,11348,10939,10410,9906,9404,9841,9454,9034,8655,8477,8333,,8098,6869,6336,6043,4113,3768,5077,5778,6113,6262,6516,,,,,,
07901 Ariany,963,912,897,902,868,860,854,859,871,903,914,877,883,876,872,839,799,766,750,771,783,782,782,790,774,772,,801,853,,,,,,,,,,6432,6056,6329,5663,5092,4609
07006 Artà,8208,8062,7984,7984,7845,7671,7541,7448,7381,7382,7415,7629,7553,7549,7411,7113,6802,6730,6649,6524,6578,6305,6228,6140,6065,5936,,5971,5671,5620,5459,5401,5481,6005,5779,5870,5689,5831,5812,5893,5143,4634,6225,4001
07007 Banyalbufar,577,566,542,523,515,503,495,522,548,553,583,560,592,593,605,627,591,572,568,570,584,558,534,520,504,503,,520,440,498,511,574,658,738,913,868,744,707,709,631,568,550,533,488
07008 Binissalem,9172,9027,8895,8756,8567,8316,8143,7966,7850,7936,7792,7795,7601,7379,7251,7030,6773,6475,6326,6051,5874,5618,5424,5193,5097,5019,,4885,4676,5017,4267,4147,4091,4231,4205,4134,4128,3930,3819,3870,3617,3273,3182,3027
07009 Búger,1148,1111,1084,1087,1050,1054,1046,1050,1022,1030,1029,1015,1047,1040,1060,1066,1062,1063,1016,993,984,982,946,932,938,951,,926,892,1024,1017,1020,994,1083,1190,1129,1185,1146,1115,1220,1221,1228,1187,1145
07010 Bunyola,7286,7121,7037,6895,6809,6714,6636,6669,6706,6662,6619,6276,6232,6172,6026,5910,5792,5574,5475,5291,5237,5114,4910,4745,4530,4338,,4332,4045,3262,2762,2599,2670,2584,2587,2468,2442,2303,2420,2202,2181,2160,2030,1928
07011 Calvià,53162,52458,51567,51710,50559,49333,49063,49580,50328,50363,52272,51114,52451,51462,51774,50777,47934,45284,43499,42614,42983,40979,38841,37419,35376,32587,,28748,37173,22016,4890,3005,2335,2804,2617,2570,2688,2567,2538,2590,2577,2457,2308,1875
07012 Campanet,2790,2719,2684,2648,2640,2612,2512,2507,2524,2554,2581,2590,2612,2619,2602,2601,2562,2507,2515,2420,2437,2412,2366,2346,2333,2277,,2255,2182,2120,2312,2578,2782,2761,2957,3117,3016,2984,2971,2873,2854,2310,2329,2144
